Price,Adj Close,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,,
2024-11-04,169.24000549316406,169.24000549316406,170.72999572753906,168.00999450683594,169.92999267578125,21492700
2024-11-05,169.74000549316406,169.74000549316406,170.52999877929688,168.83999633789062,169.42999267578125,18242100
2024-11-06,176.50999450683594,176.50999450683594,176.94000244140625,173.5,173.8000030517578,33695500
2024-11-07,180.75,180.75,181.0800018310547,177.19000244140625,177.41000366210938,25352900
2024-11-08,178.35000610351562,178.35000610351562,180.89999389648438,178.0800018310547,180.64999389648438,22006200
2024-11-11,180.35000610351562,180.35000610351562,180.5500030517578,178.47000122070312,178.5800018310547,17450400
2024-11-12,181.6199951171875,181.6199951171875,182.49000549316406,179.38999938964844,179.82000732421875,25134900
2024-11-13,178.8800048828125,178.8800048828125,180.9600067138672,178.5399932861328,180.4600067138672,23184000
2024-11-14,175.5800018310547,175.5800018310547,178.82000732421875,174.32000732421875,178.27999877929688,31007500
2024-11-15,172.49000549316406,172.49000549316406,174.13999938964844,171.22000122070312,173.72999572753906,32504600
2024-11-18,175.3000030517578,175.3000030517578,175.44000244140625,172.89999389648438,173.4199981689453,20206600
2024-11-19,178.1199951171875,178.1199951171875,178.8699951171875,173.55999755859375,173.72000122070312,23434900
2024-11-20,175.97999572753906,175.97999572753906,177.67999267578125,173.77999877929688,177.33999633789062,18997100
2024-11-21,167.6300048828125,167.6300048828125,174.1300048828125,163.6999969482422,173.89999389648438,59734400
2024-11-22,164.75999450683594,164.75999450683594,166.4600067138672,163.89999389648438,165.85000610351562,38604600
2024-11-25,167.64999389648438,167.64999389648438,168.6300048828125,165.61000061035156,166.08999633789062,33135300
2024-11-26,169.1199951171875,169.1199951171875,169.82000732421875,167.5800018310547,167.6300048828125,20486700
2024-11-27,169.22999572753906,169.22999572753906,169.47999572753906,168.02000427246094,169.0,19266500
2024-11-29,168.9499969482422,168.9499969482422,169.42999267578125,167.16000366210938,168.5,14257200
